id	name	scientific_name	natural_sunlight_needs	natural_sunlight_required	led_light_requirements	recommended_light_wattage	led_wattage_min	led_wattage_max	water_frequency_days	humidity_preference	difficulty	maintenance	indoor_compatible	description	compatible_locations	size	temperature_min	temperature_max	temperature_ideal	watering_method_preference	drought_tolerance	overwatering_sensitivity	soil_preference	soil_replacement_days	fertilizer_days	functions	growth_rate_days	toxic_to_pets	propagation_methods	common_pests	image_url	product_ids	care_history	perenual_id	perenual_verified	created_at	updated_at	searchable_text	last_updated
p001	snake_plant	dracaena_trifasciata	low_indirect	FALSE	low	15	10	20	14	low	1	low	TRUE	Hardy, air-purifying plant with vertical leaves. Tolerates neglect.	office,bedroom	medium	50	90	70	bottom_watering	9	6	sandy_loose_mix	900	90	air_purification,decoration,night_oxygen	90	TRUE	division,leaf_cutting	mealybugs,spider_mites	https://example.com/plants/snake_plant.jpg	pr001,pr002	{}	1	TRUE	2025-01-01	2025-04-06	snake plant mother in law tongue air purifying low light	2025-04-06
p002	pothos	epipremnum_aureum	indirect	FALSE	medium	20	15	25	7	moderate	2	low	TRUE	Trailing vine with heart-shaped leaves. Adapts to various light conditions.	shelf,hanging_planter	medium	55	90	70	top_watering	7	6	standard_potting_soil	540	30	air_purification,decoration	30	TRUE	stem_cutting	mealybugs,spider_mites	https://example.com/plants/pothos.jpg	pr001,pr002,pr004	{}	2	TRUE	2025-01-01	2025-04-06	pothos devils ivy trailing vine golden pothos	2025-04-06
p003	fiddle_leaf_fig	ficus_lyrata	bright_indirect	TRUE	high	30	25	40	7	medium	8	high	TRUE	Dramatic tree with large leaves. Requires consistent care.	living_room	large	65	75	70	bottom_watering	4	8	well_draining_mix	360	30	decoration,statement_plant	60	TRUE	air_layering	spider_mites,scale	https://example.com/plants/fiddle_leaf.jpg	pr001,pr002,pr006	{}	3	TRUE	2025-01-01	2025-04-06	fiddle leaf fig tree ficus lyrata statement plant	2025-04-06
p004	mint	mentha_spicata	full sun to partial shade	TRUE	high	40	30	50	3	high	5	moderate	TRUE	Vigorous herb with invasive roots. Requires frequent pruning and moisture.	kitchen,balcony	small	45	85	65	drip_irrigation	3	9	rich_moist_soil	360	30	culinary,tea,aromatherapy	15	TRUE	stem_cutting	aphids,whiteflies	https://example.com/plants/mint.jpg	pr002,pr004,pr006	{}	4	TRUE	2025-01-01	2025-04-06	mint herb spearmint culinary plant edible	2025-04-06
p005	aloe_vera	aloe_barbadensis_miller	bright_indirect	FALSE	medium	30	20	35	21	low	3	low	TRUE	Succulent with medicinal gel in leaves. Thrives in dry conditions.	sunny_window,terrace	medium	50	85	70	deep_infrequent	9	8	cactus_mix	900	180	skin_care,air_purification,medicinal	60	TRUE	offsets	mealybugs	https://example.com/plants/aloe.jpg	pr001,pr002	{}	5	TRUE	2025-01-01	2025-04-06	aloe vera succulent medicinal plant healing	2025-04-06
p006	monstera	monstera_deliciosa	bright_indirect	TRUE	high	40	30	50	7	medium	6	moderate	TRUE	Iconic tropical plant with large, fenestrated leaves. Thrives in humid environments.	living_room	large	60	85	75	bottom_watering	5	6	well_draining_aroid_mix	540	60	decoration,statement_plant	45	TRUE	stem_cutting	spider_mites,scale	https://example.com/plants/monstera.jpg	pr001,pr002,pr005	{}	6	TRUE	2025-01-01	2025-04-06	monstera deliciosa swiss cheese plant tropical statement	2025-04-06
p007	peace_lily	spathiphyllum	low_indirect	FALSE	medium	20	15	30	7	high	4	moderate	TRUE	Elegant flowering plant known for air-purifying qualities. Tolerates low light conditions.	office,bedroom	medium	60	80	70	top_watering	4	8	standard_potting_soil	360	30	air_purification,decoration	30	TRUE	division	mealybugs,spider_mites	https://example.com/plants/peace_lily.jpg	pr001,pr002,pr003	{}	7	TRUE	2025-01-01	2025-04-06	peace lily spathiphyllum air purifying low light plant	2025-04-06
p008	orchid	phalaenopsis_amabilis	bright_indirect	FALSE	medium	25	20	30	10	high	7	high	TRUE	Elegant flowering plant with long-lasting blooms. Requires specific care but rewards with beautiful flowers.	windowsill,bathroom	small	60	80	70	bottom_watering	3	5	bark_mix	365	90	decoration,air_purification	120	FALSE	keiki_propagation	scale,aphids	https://example.com/plants/orchid.jpg	pr002,pr005,pr008	{}	8	TRUE	2025-01-01	2025-04-06	orchid phalaenopsis moth orchid flowering plant	2025-04-06
p009	jade_plant	crassula_ovata	direct	FALSE	high	20	15	25	21	low	3	low	TRUE	Succulent with thick, woody stems and oval leaves. Symbol of good luck and prosperity.	windowsill,desk	medium	50	75	65	deep_infrequent	9	2	cactus_mix	720	180	decoration,air_purification	60	TRUE	leaf_cuttings	mealybugs,scale	https://example.com/plants/jade_plant.jpg	pr001,pr002	{}	9	TRUE	2025-01-01	2025-04-06	jade plant money plant succulent good luck	2025-04-06
p010	boston_fern	nephrolepis_exaltata	low_indirect	FALSE	medium	15	10	20	5	high	6	moderate	TRUE	Classic fern with arching fronds. Excellent air purifier that thrives in humid environments.	bathroom,hanging_planter	medium	55	75	65	misting	2	8	peat_based_mix	365	30	air_purification,decoration	45	FALSE	division	spider_mites,scale	https://example.com/plants/boston_fern.jpg	pr004,pr006,pr008	{}	10	TRUE	2025-01-01	2025-04-06	boston fern nephrolepis air purifying humidity loving	2025-04-06
p011	spider_plant	chlorophytum_comosum	indirect	FALSE	medium	15	10	20	7	moderate	2	low	TRUE	Fast-growing plant that produces plantlets on long stems. Excellent air purifier and very forgiving.	hanging_planter,shelf	medium	45	80	65	top_watering	6	0	standard_potting_soil	365	60	air_purification,decoration	30	FALSE	plantlets	aphids,spider_mites	https://example.com/plants/spider_plant.jpg	pr001,pr002,pr007	{}	11	TRUE	2025-01-01	2025-04-06	spider plant chlorophytum airplane plant easy care	2025-04-06
p012	basil	ocimum_basilicum	direct	TRUE	high	30	25	35	2	moderate	4	moderate	TRUE	Aromatic culinary herb with bright green leaves. Frequent harvesting encourages bushier growth.	kitchen,windowsill	small	60	85	75	bottom_watering	3	0	rich_organic_soil	60	14	culinary,aromatherapy	21	FALSE	stem_cuttings	aphids,whiteflies	https://example.com/plants/basil.jpg	pr002,pr004,pr005	{}	12	TRUE	2025-01-01	2025-04-06	basil herb culinary plant italian cooking	2025-04-06
p013	thyme	thymus_vulgaris	direct	TRUE	high	25	20	30	5	low	3	low	TRUE	Low-growing herb with tiny aromatic leaves. Very drought tolerant and perfect for dry environments.	kitchen,windowsill	small	50	80	70	top_watering	8	4	sandy_loose_mix	365	45	culinary,aromatherapy,medicinal	28	FALSE	stem_cuttings	spider_mites,aphids	https://example.com/plants/thyme.jpg	pr001,pr002	{}	13	TRUE	2025-01-01	2025-04-06	thyme herb mediterranean cooking drought resistant	2025-04-06
p014	dill	anethum_graveolens	direct	TRUE	high	30	25	35	3	moderate	4	moderate	TRUE	Feathery herb with distinctive flavor. Grows quickly and self-seeds readily.	kitchen,balcony	medium	55	75	65	consistent_moisture	4	5	well_draining_mix	180	21	culinary,aromatherapy	14	FALSE	seeds	aphids,caterpillars	https://example.com/plants/dill.jpg	pr002,pr004	{}	14	TRUE	2025-01-01	2025-04-06	dill herb feathery annual cooking pickling	2025-04-06
