id	name	category	subcategory	price	amazon_link	description	compatible_locations	size_compatibility	replacement_days	application_frequency_days	plant_ids	watering_method	temperature_control_range	average_rating	review_count	in_stock	image_url	created_at	updated_at	searchable_text
pr001	ceramic_pot	pot	tabletop	$19.99	https://amazon.com/...	Stylish ceramic pot with drainage	kitchen,living_room,bathroom	small	0	0	p001,p002,p003,p005	0	0	4.7	356	TRUE	https://example.com/products/ceramic_pot.jpg	2025-01-01	2025-04-06	ceramic pot drainage planter container
pr002	pre_mix_soil	soil	all_purpose	$14.99	https://amazon.com/...	Pre-mixed soil for indoor plants	all	all	540	0	all	0	0	4.5	289	TRUE	https://example.com/products/soil.jpg	2025-01-01	2025-04-06	soil potting mix indoor plants
pr003	clip_grow_light	grow_light	clip_on	$29.99	https://amazon.com/...	Adjustable light with timer	all	small,medium	0	0	all	0	0	4.3	412	TRUE	https://example.com/products/grow_light.jpg	2025-01-01	2025-04-06	grow light led clip timer adjustable
pr004	self_watering_pot	pot	self_watering	$24.99	https://amazon.com/...	Includes water reservoir	kitchen,office	medium	0	0	p002,p004	bottom_watering	0	4.2	187	TRUE	https://example.com/products/self_watering.jpg	2025-01-01	2025-04-06	self watering pot reservoir planter
pr005	fertilizer_spikes	fertilizer	slow_release	$8.99	https://amazon.com/...	Fertilizer spikes for indoor plants	all	all	0	30	p003,p004	0	0	4.1	524	TRUE	https://example.com/products/fertilizer.jpg	2025-01-01	2025-04-06	fertilizer spikes slow release indoor
pr006	portable_humidifier	humidifier	portable	$34.99	https://amazon.com/...	Small humidifier for plant area	all	small	0	0	p003,p004	0	0	4.4	276	TRUE	https://example.com/products/humidifier.jpg	2025-01-01	2025-04-06	humidifier portable plant mist moisture
pr007	terracotta_pot	pot	tabletop	$12.99	https://amazon.com/...	Classic terracotta pot with drainage holes	kitchen,living_room,bathroom	small	0	0	p001,p002,p005,p006	bottom_watering	0	4.6	245	TRUE	https://example.com/products/terracotta_pot.jpg	2025-01-01	2025-04-06	terracotta pot drainage classic planter
pr008	cactus_mix_soil	soil	specialty	$16.99	https://amazon.com/...	Specialized soil mix for succulents and cacti	all	small	365	0	p005,p006	top_watering	0	4.5	312	TRUE	https://example.com/products/cactus_mix.jpg	2025-01-01	2025-04-06	cactus mix succulent soil well-draining
pr009	plant_mister	mister	handheld	$22.99	https://amazon.com/...	Fine mist sprayer for precise plant watering	kitchen,living_room,bathroom	small	0	0	p001,p002,p003,p006,p007	drip_irrigation	0	4.4	198	TRUE	https://example.com/products/plant_mister.jpg	2025-01-01	2025-04-06	plant mister spray bottle precision watering
pr010	watering_can	watering_can	can	$19.99	https://amazon.com/...	A lightweight plastic watering can with a long spout and removable rose for indoor plants.	kitchen,living_room,bathroom	small	0	0	all	top_watering	0	4.5	356	TRUE	https://example.com/products/watering_can.jpg	2025-01-01	2025-04-07	watering can indoor plants houseplant garden tool
pr011	plant_stand	plant_stand	stand	$39.99	https://amazon.com/...	A sturdy wooden plant stand with three tiers perfect for displaying multiple indoor plants.	living_room,bathroom,bathroom	medium,large	0	0	p003,p006	0	0	4.5	300	TRUE	https://example.com/products/plant_stand.jpg	2025-01-01	2025-04-07	plant stand indoor wooden tiered display
pr012	plant_saucer	saucer	saucer	$2.99	https://amazon.com/...	A clear plastic plant saucer to catch excess water from indoor plants.	office,kitchen,living_room,bathroom	small,medium	0	0	all	0	0	4.5	500	TRUE	https://example.com/products/plant_saucer.jpg	2025-01-01	2025-04-07	plant saucer indoor clear plastic water catcher
