plant_id	plant_name	product_id	product_name	compatibility_rating	primary_purpose	recommended_usage	compatibility_notes
p001	snake_plant	pr001	terracotta_pot	5	soil	standard_pot_size	perfect_drainage_for_succulents
p001	snake_plant	pr002	cactus_mix	4	soil	mix_with_existing_soil	works_well_with_sandy_amendments
p002	pothos	pr001	terracotta_pot	4	soil	standard_pot_size	good_size_for_young_pothos
p002	pothos	pr002	cactus_mix	5	soil	use_as_primary_soil	standard_mix_works_well
p002	pothos	pr004	self_watering_pot	5	watering	water_weekly	ideal_for_consistent_moisture
p003	monstera	pr001	terracotta_pot	3	soil	use_larger_size	use_larger_size_for_mature_plants
p003	monstera	pr006	plant_mister	5	humidity	mist_daily	helps_with_humidity_needs
p004	peace_lily	pr004	self_watering_pot	5	watering	keep_soil_moist	keeps_soil_consistently_moist
p004	peace_lily	pr006	plant_mister	5	humidity	mist_twice_daily	maintains_needed_humidity
p005	aloe_vera	pr001	terracotta_pot	5	soil	standard_pot_size	good_drainage_for_succulents
p005	aloe_vera	pr002	cactus_mix	3	soil	mix_with_sand	mix_with_sand_for_better_drainage
p006	fiddle_leaf_fig	pr003	grow_light	5	light	place_2ft_above	provides_optimal_light_levels
p007	orchid	pr005	fertilizer_spikes	4	fertilizing	use_monthly	slow_release_nutrients_for_blooms
p008	spider_plant	pr007	neem_oil	5	pest_control	apply_biweekly	prevents_common_spider_mites
p009	boston_fern	pr008	humidity_tray	4	humidity	keep_pebbles_wet	indirect_humidity_without_overwatering
p010	jade_plant	pr002	cactus_mix	5	soil	use_with_drainage	prevents_root_rot_effectively
p005	aloe_vera	pr005	fertilizer_spikes	1	fertilizing	avoid_during_dormancy	can_damage_roots_if_overused
p007	orchid	pr002	cactus_mix	2	soil	mix_with_bark	too_dense_alone_for_proper_aeration
